model_label,q,n_display,rel,leader_share,counts,chosen_role,n
gemma4_31B_dense,5,99,0.03,0.2222222222222222,"[22, 20, 19, 19, 19]",1,32
gemma4_31B_dense,5,99,0.03,0.2222222222222222,"[22, 20, 19, 19, 19]",4,17
gemma4_31B_dense,5,99,0.03,0.2222222222222222,"[22, 20, 19, 19, 19]",2,21
gemma4_31B_dense,5,99,0.06,0.24242424242424243,"[24, 19, 19, 19, 18]",2,17
gemma4_31B_dense,5,99,0.06,0.24242424242424243,"[24, 19, 19, 19, 18]",0,89
gemma4_31B_dense,5,99,0.06,0.24242424242424243,"[24, 19, 19, 19, 18]",4,16
gemma4_31B_dense,5,99,0.06,0.24242424242424243,"[24, 19, 19, 19, 18]",1,17
gemma4_31B_dense,5,99,0.06,0.24242424242424243,"[24, 19, 19, 19, 18]",3,11
gemma4_31B_dense,5,99,0.1,0.2828282828282828,"[28, 18, 18, 18, 17]",0,141
gemma4_31B_dense,5,99,0.1,0.2828282828282828,"[28, 18, 18, 18, 17]",4,3
gemma4_31B_dense,5,99,0.1,0.2828282828282828,"[28, 18, 18, 18, 17]",3,3
gemma4_31B_dense,5,99,0.1,0.2828282828282828,"[28, 18, 18, 18, 17]",2,1
gemma4_31B_dense,5,99,0.1,0.2828282828282828,"[28, 18, 18, 18, 17]",1,2
gemma4_31B_dense,5,99,0.15,0.31313131313131315,"[31, 17, 17, 17, 17]",0,149
gemma4_31B_dense,5,99,0.15,0.31313131313131315,"[31, 17, 17, 17, 17]",3,1
gemma4_31B_dense,5,99,0.2,0.35353535353535354,"[35, 16, 16, 16, 16]",0,150
gemma4_31B_dense,5,99,0.25,0.3939393939393939,"[39, 15, 15, 15, 15]",0,150
gemma4_31B_dense,5,99,0.4,0.5050505050505051,"[50, 13, 12, 12, 12]",0,150
gemma4_31B_dense,5,99,0.6,0.6565656565656566,"[65, 9, 9, 8, 8]",0,150
gemma4_31B_dense,5,99,0.8,0.8080808080808081,"[80, 5, 5, 5, 4]",0,150
gemma4_31B_dense,5,99,1.0,0.9595959595959596,"[95, 1, 1, 1, 1]",0,150
gemma4_31B_dense,5,199,0.0,0.20100502512562815,"[40, 40, 40, 40, 39]",4,34
gemma4_31B_dense,5,199,0.0,0.20100502512562815,"[40, 40, 40, 40, 39]",2,23
