model_label,q,n_display,n_valid,design_points,beta_m1,beta_ci_lo,beta_ci_hi,p_leader_smallest_lead,n_informative_points,beta_is_lower_bound,beta_c,beta_over_beta_c,rmse
gemma4_31B_dense,25,199,1642,11,50.01572644673542,45.93463140924157,54.46252517107633,0.38095238095238093,2,True,3.3162300838413348,15.082103829418257,0.0082402169699763
gemma4_31B_dense,25,399,1641,11,57.69429594108978,53.77056736252771,63.13057310480721,0.5238095238095238,2,True,3.3162300838413348,17.397555200470272,0.003305861154771
gemma4_31B_dense,25,799,1650,11,57.74540212547224,51.63549869837624,64.85977403555034,0.58,2,True,3.3162300838413348,17.412966128871012,0.0138703226725763
gemma4_31B_dense,50,99,1646,11,56.34690720857099,53.23340702346032,60.18899070346435,0.040268456375838924,3,False,3.9728998876545973,14.182815777378021,0.0097236050935458
gemma4_31B_dense,50,199,1650,11,65.99241964447286,60.41466932352415,71.95714054213106,0.25333333333333335,4,False,3.9728998876545973,16.61064248045563,0.0170336568810501
gemma4_31B_dense,50,399,1650,11,95.17044638052081,79.19650717205201,112.24357769090479,0.8533333333333334,2,True,3.9728998876545973,23.95490676124354,0.0395283121543884
gemma4_31B_dense,50,799,1650,11,100.00255793738684,87.96209863578994,111.6771906695498,0.9066666666666666,2,True,3.9728998876545973,25.171174901269254,0.0189773134991994
gemma4_31B_dense,100,199,1649,11,74.92511648636852,69.0682269204466,80.63172851427035,0.12751677852348994,5,False,4.642008828197187,16.140666521624674,0.0422434666854619
gemma4_31B_dense,100,399,1643,11,106.93126817373151,96.7600001139439,116.19848062299184,0.6301369863013698,2,True,4.642008828197187,23.035558985625695,0.0189405337820094
gemma4_31B_dense,100,799,1650,11,140.90753007377663,127.35921130582939,166.6905933551751,0.96,1,True,4.642008828197187,30.35486042548109,0.004550077749017
gemma4_E4B_it,2,24,1050,7,4.141539043518041,3.690923503324403,4.838406933162117,0.66,3,False,1.0,4.141539043518041,0.0104942997696923
gemma4_E4B_it,2,49,1050,7,4.815495890368881,4.210896552720846,5.691617731137399,0.6933333333333334,3,False,1.0,4.815495890368881,0.0194579171830436
gemma4_E4B_it,2,99,1050,7,3.73927630413116,3.1687904755141165,4.474765940297831,0.7,4,False,1.0,3.73927630413116,0.0225583635498364
gemma4_E4B_it,2,199,1050,7,3.3552865327052674,2.950860486899748,4.011773166706219,0.6533333333333333,4,False,1.0,3.3552865327052674,0.0248337954590847
gemma4_E4B_it,2,399,1050,7,3.451316049255806,2.988172525665561,4.082807855943873,0.6666666666666666,4,False,1.0,3.451316049255806,0.0269269397262257
gemma4_E4B_it,2,799,1050,7,3.6284218324195563,3.0563179019404765,4.706764164717556,0.6866666666666666,4,False,1.0,3.6284218324195563,0.0290396596434965
gemma4_E4B_it,3,24,1350,9,6.573530535791489,6.034347527077729,7.292026728962137,0.5133333333333333,4,False,1.3862943611198906,4.741799952559276,0.028961609276027
gemma4_E4B_it,3,49,1650,11,6.317273293392594,5.787894927936422,6.885240134727058,0.48,6,False,1.3862943611198906,4.5569494261588925,0.0292178160729926
gemma4_E4B_it,3,99,1650,11,5.40008714521329,5.038542826454122,5.9558579022240465,0.4066666666666667,7,False,1.3862943611198906,3.895339472383727,0.024314603753206
gemma4_E4B_it,3,199,1650,11,5.958205285392229,5.482205419442396,6.508652694733429,0.41333333333333333,7,False,1.3862943611198906,4.29793660891689,0.0177319393646555
gemma4_E4B_it,3,399,1650,11,5.194061232899553,4.790497069820051,5.706726178524663,0.42,7,False,1.3862943611198906,3.7467231913889,0.0413743481372536
gemma4_E4B_it,3,799,1650,11,5.177694744637918,4.793530822441806,5.723994966520211,0.36,7,False,1.3862943611198906,3.7349172656629865,0.0240291038001056
gemma4_E4B_it,5,24,1350,9,10.235413264494598,9.507623368445342,11.193418561653981,0.4866666666666667,4,False,1.8483924814931874,5.5374674843008025,0.0199852433206696
gemma4_E4B_it,5,49,1650,11,9.233279872886632,8.592539877740483,9.86900480837039,0.26666666666666666,6,False,1.8483924814931874,4.995302656407533,0.0223460460604093
gemma4_E4B_it,5,99,1650,11,9.121812373925303,8.42787805080154,9.782024713139302,0.31333333333333335,6,False,1.8483924814931874,4.934997553418107,0.027620987851939
